Name,Category,Product_type,Review_count,Price,Badge,have_Different_options,New_product,Discount
LÄTT,Children's furniture,Children's table with 2 chairs,17,199,Top seller,No option,Not new,New Lower Price
MAMMUT,Children's furniture,"Children's table,",6,189,Not top seller,No option,Not new,Not have lower price
MAMMUT,Children's furniture,"Children's table,",0,115,Not top seller,No option,Not new,Not have lower price
IKEA PS LÖMSK,Children's furniture,Swivel armchair,1,449,Not top seller,No option,Not new,Not have lower price
SMÅSTAD,Children's furniture,"Wardrobe with pull-out unit,",0,1223,Not top seller,No option,Not new,Not have lower price
PÅHL,Children's furniture,"Desk,",0,395,Not top seller,No option,Not new,Not have lower price
MAMMUT,Children's furniture,"Children's table,",2,115,Not top seller,No option,Not new,Not have lower price
SUNDVIK,Children's furniture,"Children's table,",1,245,Not top seller,More option,Not new,Not have lower price
FLISAT,Children's furniture,Children's bench,0,175,Not top seller,No option,Not new,Not have lower price
TROFAST,Children's furniture,"Storage combination,",0,520,Not top seller,More option,Not new,Not have lower price
MAMMUT,Children's furniture,Children's chair,3,79,Not top seller,No option,Not new,Not have lower price
CIRKUSTÄLT,Children's furniture,Children's tent,0,99,Not top seller,No option,Not new,Not have lower price
RESÖ,Children's furniture,Children's picnic table,1,265,Not top seller,No option,Not new,Not have lower price
TROFAST,Children's furniture,"Wall storage,",0,285,Not top seller,No option,Not new,Not have lower price
MAMMUT,Children's furniture,Children's stool,1,35,Not top seller,No option,Not new,Not have lower price
TROFAST,Children's furniture,"Storage combination,",0,280,Not top seller,More option,Not new,Not have lower price
DUNDRA,Children's furniture,Activity table with storage,1,745,Not top seller,No option,Not new,Not have lower price
FLISAT,Children's furniture,Children's desk,0,595,Not top seller,No option,Not new,Not have lower price
SLÄKT,Children's furniture,"Pouffe/mattress, foldable",0,650,Not top seller,No option,Not new,Not have lower price
SMÅGÖRA,Children's furniture,"Desk,",1,395,Not top seller,No option,Not new,Not have lower price
SMÅGÖRA,Children's furniture,"Wardrobe,",1,775,Not top seller,No option,Not new,Not have lower price
TROFAST,Children's furniture,"Storage combination,",0,275,Not top seller,More option,Not new,Not have lower price
TROFAST,Children's furniture,"Wall storage,",0,209,Not top seller,No option,Not new,Not have lower price
EKTORP,Sofas,3-seat sofa,0,1845,Top seller,More option,Not new,Not have lower price
EKTORP,Sofas,2-seat sofa,0,1825,Top seller,More option,Not new,New Lower Price
GAMMALBYN,Sofas,3-seat sofa,18,2145,Top seller,More option,Not new,Not have lower price
GLOSTAD,Sofas,2-seat sofa,11,695,Not top seller,No option,Not new,Not have lower price
LINANÄS,Sofas,3-seat sofa,7,1295,Not top seller,More option,Not new,Not have lower price
EKTORP,Sofas,"Corner sofa, 4-seat",0,4195,Not top seller,More option,Not new,Not have lower price
SÖDERHAMN,Sofas,"Corner sofa, 6-seat",0,8130,Not top seller,More option,Not new,New Lower Price
GRÖNLID,Sofas,3-seat sofa,0,3245,Not top seller,More option,Not new,Not have lower price
EKTORP,Sofas,Cover for 2-seat sofa,15,225,Not top seller,More option,Not new,New Lower Price
LINANÄS,Sofas,3-seat sofa,3,1895,Not top seller,More option,Not new,Not have lower price
LINANÄS,Sofas,2-seat sofa,5,995,Not top seller,No option,Not new,Not have lower price
BACKSÄLEN,Sofas,3-seat sofa,0,2845,Not top seller,More option,Not new,Not have lower price
LANDSKRONA,Sofas,5-seat sofa,0,6785,Not top seller,More option,Not new,Not have lower price
VIMLE,Sofas,3-seat sofa,0,3395,Not top seller,More option,Not new,Not have lower price
EKTORP,Sofas,3-seat sofa with chaise longue,0,3300,Not top seller,More option,Not new,Not have lower price
EKENÄSET,Sofas,2-seat sofa,0,1445,Not top seller,More option,New,Not have lower price
KLIPPAN,Sofas,2-seat sofa,0,1699,Not top seller,More option,Not new,Not have lower price
GRÖNLID,Sofas,4-seat sofa with chaise longue,0,5380,Not top seller,More option,Not new,Not have lower price
PÄRUP,Sofas,3-seat sofa,0,1995,Not top seller,More option,Not new,Not have lower price
SÖDERHAMN,Sofas,3-seat section,0,2945,Top seller,More option,Not new,New Lower Price
STRANDMON,Sofas,Slipcover for wing chair,0,195,Top seller,No option,Not new,Not have lower price
PÄRUP,Sofas,Cover for 2-seat sofa,1,695,Not top seller,More option,Not new,Not have lower price
ANGERSBY,Sofas,3-seat sofa,0,1799,Not top seller,No option,Not new,Not have lower price
VIMLE,Sofas,4-seat sofa with chaise longue,0,4870,Not top seller,More option,Not new,Not have lower price
BRIMNES,Wardrobes,"Wardrobe with 3 doors,",65,895,Top seller,No option,Not new,New Lower Price
KLEPPSTAD,Wardrobes,"Wardrobe with sliding doors,",6,895,Not top seller,No option,Not new,Not have lower price
RAKKESTAD,Wardrobes,"Wardrobe with sliding doors,",0,895,Not top seller,No option,Not new,Not have lower price
PAX / HASVIK,Wardrobes,"Wardrobe,",0,2475,Not top seller,More option,Not new,Not have lower price
PAX / FORSAND,Wardrobes,"Wardrobe combination,",0,1800,Top seller,More option,Not new,New Lower Price
GURSKEN,Wardrobes,"Wardrobe,",2,345,Top seller,No option,Not new,Not have lower price
RAKKESTAD,Wardrobes,"Wardrobe with 2 doors,",8,595,Not top seller,No option,Not new,Not have lower price
BRIMNES,Wardrobes,"Wardrobe with 2 doors,",6,699,Not top seller,No option,Not new,Not have lower price
GODISHUS,Wardrobes,"Wardrobe,",0,595,Not top seller,No option,Not new,Not have lower price
PAX / FORSAND,Wardrobes,"Wardrobe,",0,4055,Not top seller,More option,Not new,Not have lower price
PAX / BERGSBO,Wardrobes,"Wardrobe combination,",0,2610,Not top seller,More option,Not new,New Lower Price
HAUGA,Wardrobes,"Wardrobe with sliding doors,",13,1345,Top seller,More option,Not new,Not have lower price
PAX / HASVIK,Wardrobes,"Wardrobe,",0,2400,Not top seller,More option,Not new,Not have lower price
PAX / GRIMO,Wardrobes,"Wardrobe combination,",0,2525,Not top seller,More option,Not new,Not have lower price
SMÅGÖRA,Wardrobes,"Wardrobe,",1,775,Not top seller,No option,Not new,Not have lower price
PAX / GRIMO/VIKEDAL,Wardrobes,"Wardrobe,",0,4775,Not top seller,More option,Not new,Not have lower price
SONGESAND,Wardrobes,"Wardrobe,",1,995,Not top seller,No option,Not new,Not have lower price
PAX / GRIMO/VIKEDAL,Wardrobes,"Corner wardrobe,",0,6760,Not top seller,More option,Not new,Not have lower price
PAX / FORSAND,Wardrobes,"Wardrobe,",0,2630,Not top seller,More option,Not new,Not have lower price
VIHALS,Wardrobes,"Wardrobe combination,",0,2690,Not top seller,No option,New,Not have lower price
HAUGA,Wardrobes,"Wardrobe combination,",0,3335,Not top seller,More option,Not new,Not have lower price
PAX / GRIMO,Wardrobes,"Wardrobe combination,",0,4445,Not top seller,More option,Not new,New Lower Price
VUKU,Wardrobes,"Wardrobe,",3,69,Not top seller,No option,Not new,Not have lower price
VILHATTEN,Wardrobes,Wardrobe with 2 doors and 2 drawers,0,1245,Not top seller,No option,New,Not have lower price
GRÅSALA / ADDE,Furniture sets,"Table and 4 chairs,",0,471,Not top seller,More option,New,Not have lower price
UTESPELARE / MATCHSPEL,Furniture sets,Gaming desk and chair,0,1820,Not top seller,More option,Not new,Not have lower price
MALM,Furniture sets,"Bedroom furniture, set of 4,",0,2688,Not top seller,More option,Not new,Not have lower price
BRIMNES,Furniture sets,"Bedroom furniture, set of 3,",0,2969,Not top seller,More option,Not new,New Lower Price
UTESPELARE / HELMER,Furniture sets,"Desk, chair and drawer unit",0,1665,Not top seller,More option,Not new,Not have lower price
TÄRNÖ,Furniture sets,"Table+2 chairs, outdoor",0,299,Top seller,More option,Not new,Not have lower price
MALM,Furniture sets,"Bedroom furniture, set of 2",0,698,Top seller,No option,Not new,Not have lower price
NÄMMARÖ,Furniture sets,"Table and 2 folding chairs, outdoor",0,799,Not top seller,More option,New,Not have lower price
IDANÄS / TERJE,Furniture sets,Table and 1 chair,0,848,Not top seller,More option,Not new,Not have lower price
HAUGA,Furniture sets,"Bedroom furniture, set of 3",0,1685,Not top seller,No option,Not new,New Lower Price
MICKE / DAGNAR,Furniture sets,Desk and chair,0,1024,Not top seller,More option,New,Not have lower price
JOKKMOKK,Furniture sets,Table and 4 chairs,34,795,Top seller,No option,Not new,New Lower Price
SONGESAND,Furniture sets,"Bedroom furniture, set of 5,",0,3135,Not top seller,More option,Not new,Not have lower price
DANDERYD / INGOLF,Furniture sets,"Table and 4 chairs,",0,2095,Not top seller,More option,Not new,Not have lower price
HAUGA,Furniture sets,"Storage combination,",0,1740,Not top seller,More option,Not new,Not have lower price
STRANDTORP / TOSSBERG,Furniture sets,"Table and 4 chairs,",0,4795,Not top seller,More option,Not new,Not have lower price
TORALD / SMÄLLEN,Furniture sets,Desk and chair,0,268,Not top seller,No option,Not new,Not have lower price
TOSTERÖ,Furniture sets,"Cover for furniture set,",0,299,Not top seller,No option,Not new,Not have lower price
LANEBERG / EKEDALEN,Furniture sets,"Table and 6 chairs,",0,2689,Not top seller,More option,Not new,Not have lower price
HAUGA,Furniture sets,"Wardrobe combination,",0,3335,Not top seller,More option,Not new,Not have lower price
ENHET,Furniture sets,"Frame w shelves for washing machine,",1,375,Not top seller,More option,Not new,Not have lower price
INGATORP / SAKARIAS,Furniture sets,"Table and 4 chairs,",0,5291,Not top seller,More option,Not new,Not have lower price
HAUGA,Furniture sets,"Bedroom furniture, set of 2,",0,1390,Not top seller,More option,Not new,Not have lower price
SKOGSTA / INGOLF,Furniture sets,"Table and 6 chairs,",0,4293,Not top seller,More option,Not new,New Lower Price
NEIDEN,Beds,"Bed frame,",12,345,Not top seller,No option,Not new,Not have lower price
MALM,Beds,"Bed frame, high,",0,695,Not top seller,More option,Not new,Not have lower price
NEIDEN,Beds,"Bed frame,",18,270,Not top seller,No option,Not new,Not have lower price
ASKVOLL,Beds,"Bed frame,",0,1145,Not top seller,More option,Not new,Not have lower price
SLATTUM,Beds,"Upholstered bed frame,",14,795,Top seller,More option,Not new,Not have lower price
KLEPPSTAD,Beds,"Bed frame,",32,645,Not top seller,More option,Not new,Not have lower price
LEIRVIK,Beds,"Bed frame,",0,645,Not top seller,More option,Not new,Not have lower price
MALM,Beds,"Bed frame, high, w 2 storage boxes,",0,995,Not top seller,More option,Not new,Not have lower price
